Contaminant_genera,Source
Abiotrophia,"Salter et al 2014, Table 1"
Achromobacter,"Weyrich et al 2019, Table 1"
Acidovorax,"Salter et al 2014, Table 1"
Acinetobacter,Both studies
Actinomyces,"Weyrich et al 2019, Table 1"
Aeromicrobium,"Salter et al 2014, Table 1"
Afipia,"Salter et al 2014, Table 1"
Aquabacterium,"Salter et al 2014, Table 1"
Arthrobacter,"Salter et al 2014, Table 1"
Asticcacaulis,"Salter et al 2014, Table 1"
Aurantimonas,"Salter et al 2014, Table 1"
Azoarcus,"Salter et al 2014, Table 1"
Azospira,"Salter et al 2014, Table 1"
Bacillus,Both studies
Beijerinckia,"Salter et al 2014, Table 1"
Beutenbergia,"Salter et al 2014, Table 1"
Bosea,"Salter et al 2014, Table 1"
Bradyrhizobium,Both studies
Brevibacillus,"Salter et al 2014, Table 1"
Brevibacterium,"Salter et al 2014, Table 1"
Brevundimonas,"Salter et al 2014, Table 1"
Brochothrix,"Salter et al 2014, Table 1"
Burkholderia,Both studies
Caulobacter,"Salter et al 2014, Table 1"
Chryseobacterium,Both studies
Cloacibacterium,"Weyrich et al 2019, Table 1"
Clostridium,"Weyrich et al 2019, Table 1"
Comamonas,Both studies
Corynebacterium,Both studies
Craurococcus,"Salter et al 2014, Table 1"
Cupriavidus,Both studies
Curtobacterium,"Salter et al 2014, Table 1"
Curvibacter,"Salter et al 2014, Table 1"
Deinococcus,"Salter et al 2014, Table 1"
Delftia,"Salter et al 2014, Table 1"
Dermacoccus,"Weyrich et al 2019, Table 1"
Devosia,Both studies
Dietzia,"Salter et al 2014, Table 1"
Duganella,"Salter et al 2014, Table 1"
Dyadobacter,"Salter et al 2014, Table 1"
Enhydrobacter,Both studies
Enterobacter,"Salter et al 2014, Table 1"
Enterococcus,"Weyrich et al 2019, Table 1"
Escherichia,"Salter et al 2014, Table 1"
Facklamia,"Salter et al 2014, Table 1"
Flavobacterium,Both studies
Fluviicola,"Weyrich et al 2019, Table 1"
Geobacillus,"Weyrich et al 2019, Table 1"
Geodermatophilus,"Salter et al 2014, Table 1"
Herbaspirillum,"Salter et al 2014, Table 1"
Hoeflea,"Salter et al 2014, Table 1"
Hydrotalea,"Salter et al 2014, Table 1"
Janibacter,"Salter et al 2014, Table 1"
Janthinobacterium,"Salter et al 2014, Table 1"
Kingella,"Salter et al 2014, Table 1"
Kocuria,"Salter et al 2014, Table 1"
Lactococcus,"Weyrich et al 2019, Table 1"
Leptothrixa,"Salter et al 2014, Table 1"
Leuconostoc,"Weyrich et al 2019, Table 1"
Limnobacter,"Salter et al 2014, Table 1"
Limnohabitans,"Weyrich et al 2019, Table 1"
Lysobacter,"Weyrich et al 2019, Table 1"
Massilia,"Salter et al 2014, Table 1"
Mesorhizobium,Both studies
Methylobacterium,Both studies
Methylophilus,"Salter et al 2014, Table 1"
Methyloversatilis,"Salter et al 2014, Table 1"
Microbacterium,"Salter et al 2014, Table 1"
Micrococcus,Both studies
Microlunatus,"Salter et al 2014, Table 1"
N09,"Weyrich et al 2019, Table 1"
Nevskiae,"Salter et al 2014, Table 1"
Niastella,"Salter et al 2014, Table 1"
Novosphingobium,Both studies
Ochrobactrum,"Salter et al 2014, Table 1"
Olivibacter,"Salter et al 2014, Table 1"
Oxalobacter,"Salter et al 2014, Table 1"
Paenibacillus,Both studies
Paracoccus,"Salter et al 2014, Table 1"
Patulibacter,"Salter et al 2014, Table 1"
Pedobacter,Both studies
Pedomicrobium,"Salter et al 2014, Table 1"
Pelomonas,"Salter et al 2014, Table 1"
Phyllobacterium,"Salter et al 2014, Table 1"
Polaromonas,"Salter et al 2014, Table 1"
Propionibacterium,"Salter et al 2014, Table 1"
Pseudomonas,"Salter et al 2014, Table 1"
Pseudoxanthomonas,"Salter et al 2014, Table 1"
Psychrobacter,"Salter et al 2014, Table 1"
Ralstonia,Both studies
Rhizobium,"Salter et al 2014, Table 1"
Rhodococcus,"Salter et al 2014, Table 1"
Roseomonas,"Salter et al 2014, Table 1"
Schlegelella,"Salter et al 2014, Table 1"
Sediminibacterium,"Weyrich et al 2019, Table 1"
Sphingobium,"Salter et al 2014, Table 1"
Sphingomonas,Both studies
Sphingopyxis,"Salter et al 2014, Table 1"
Staphylococcus,"Weyrich et al 2019, Table 1"
Stenotrophomonas,Both studies
Streptococcus,Both studies
Sulfuritalea,"Salter et al 2014, Table 1"
Tepidimonas,"Weyrich et al 2019, Table 1"
Thermicanus,"Weyrich et al 2019, Table 1"
Tsukamurel,"Salter et al 2014, Table 1"
Undibacterium,"Salter et al 2014, Table 1"
Variovorax,"Salter et al 2014, Table 1"
Wautersiella,Both studies
Xanthomonas,"Salter et al 2014, Table 1"
