"","Species","Diet.Inv","Diet.Vend","Diet.Vect","Diet.Vfish","Diet.Vunk","Diet.Scav","Diet.Fruit","Diet.Nect","Diet.Seed","Diet.PlantO","Diet.Source","Diet.Certainty","BodyMass.Value"
"1","Ceratotherium simum",0,0,0,0,0,0,0,0,0,100,"Ref_1","ABC",2949986.31
"2","Diceros bicornis",0,0,0,0,0,0,0,0,0,100,"Ref_1","ABC",1180510.9
"3","Equus quagga",0,0,0,0,0,0,0,0,0,100,"Ref_1","ABC",276000
"4","Equus caballus",0,0,0,0,0,0,0,0,0,100,"Ref_1","ABC",250000
"5","Camelus dromedarius",0,0,0,0,0,0,0,0,0,100,"Ref_1","ABC",601000
"6","Hippopotamus amphibius",0,0,0,0,0,0,0,0,0,100,"Ref_1","ABC",1417489.99
"7","Capreolus capreolus",0,0,0,0,0,0,0,0,0,100,"Ref_1","ABC",22500
"8","Cephalophus silvicultor",0,10,0,0,0,0,30,0,0,60,"Ref_1","ABC",72500.33
"9","Giraffa camelopardalis",0,0,0,0,0,0,0,0,0,100,"Ref_1","ABC",899994.8
"10","Muntiacus muntjak",0,0,0,0,0,0,30,0,0,70,"Ref_1","ABC",15925.79
"11","Okapia johnstoni",0,0,0,0,0,0,0,0,0,100,"Ref_1","ABC",230001.15
"12","Ovis ammon",0,0,0,0,0,0,0,0,0,100,"Ref_1","ABC",180000
"13","Ovis aries",0,0,0,0,0,0,0,0,0,100,"Ref_1","ABC",50000
"14","Rangifer tarandus",0,0,0,0,0,0,0,0,0,100,"Ref_1","ABC",86033.98
"15","Rupicapra rupicapra",0,0,0,0,0,0,0,0,0,100,"Ref_1","ABC",26100
"16","Syncerus caffer",0,0,0,0,0,0,0,0,0,100,"Ref_1","ABC",580002.68
"17","Alouatta palliata",0,0,0,0,0,0,40,0,0,60,"Ref_1","ABC",7274.95
"18","Cuniculus paca",0,0,0,0,0,0,20,0,30,50,"Ref_1","ABC",8172.55
"19","Dugong dugon",0,0,0,0,0,0,0,0,0,100,"Ref_3","D2",310000
"20","Gorilla beringei",0,0,0,0,0,0,10,0,0,90,"Ref_1","ABC",149325.19
"21","Gorilla gorilla",0,0,0,0,0,0,10,0,0,90,"Ref_1","ABC",131625.52
"22","Loxodonta africana",0,0,0,0,0,0,0,0,0,100,"Ref_1","ABC",3940034.28
"23","Macropus giganteus",0,0,0,0,0,0,0,0,0,100,"Ref_1","ABC",25875
"24","Marmota marmota",0,0,0,0,0,0,30,0,30,40,"Ref_1","ABC",2010
"25","Meles meles",20,20,20,0,0,0,20,0,10,10,"Ref_1","ABC",13000
"26","Orcinus orca",25,50,0,25,0,0,0,0,0,0,"Ref_1","ABC",4300000
"27","Otaria flavescens",40,0,0,60,0,0,0,0,0,0,"Ref_3","D2",193670.53
"28","Pan troglodytes",10,0,0,0,0,0,60,0,0,30,"Ref_1","ABC",42500
"29","Papio anubis",10,40,0,0,0,0,20,0,0,30,"Ref_99","ABC",17728.56
"30","Piliocolobus foai",0,0,0,0,0,0,20,0,0,80,"Ref_2","D1",8591.69
"31","Pongo pygmaeus",10,0,0,0,10,0,80,0,0,0,"Ref_1","ABC",37000
"32","Sus scrofa",10,0,0,0,10,10,0,0,10,60,"Ref_1","ABC",96118.09
"33","Sus domesticus",10,0,0,0,10,10,0,0,10,60,"Ref_1","ABC",96118.09
"34","Acrocodia indica",0,0,0,0,0,0,0,0,0,100,"Ref_1","ABC",296250
"35","Ursus arctos",10,10,0,0,0,0,20,0,0,60,"Ref_1","ABC",180520.42
